Id,country,points,price,province,region,variety
54,Argentina,92,40,Mendoza Province,LujaÁn de Cuyo,Malbec
55,Argentina,92,40,Mendoza Province,Mendoza,Cabernet Sauvignon
56,Argentina,86,21,Mendoza Province,Mendoza,Malbec
57,Argentina,92,38,Mendoza Province,Mendoza,Malbec
58,Argentina,90,20,Mendoza Province,Mendoza,Malbec
59,Argentina,87,15,Mendoza Province,Mendoza,White Blend
60,Argentina,87,39,Mendoza Province,Uco Valley,Malbec
61,Argentina,87,12,Mendoza Province,Mendoza,Torrontas
62,Argentina,87,28,Mendoza Province,Uco Valley,Cabernet Sauvignon
63,Argentina,89,22,Mendoza Province,LujaÁn de Cuyo,Malbec
64,Argentina,86,13,Mendoza Province,Mendoza,Cabernet Sauvignon
65,Argentina,86,11,Mendoza Province,Mendoza,Chenin Blanc
66,Argentina,86,16,Mendoza Province,LujaÁn de Cuyo,Cabernet Sauvignon
67,Argentina,89,25,Mendoza Province,Uco Valley,Red Blend
68,Argentina,89,35,Mendoza Province,Mendoza,Red Blend
69,Argentina,86,14,Mendoza Province,Mendoza,Torrontas
70,Argentina,86,15,Mendoza Province,Mendoza,Petit Verdot
71,Argentina,87,17,Mendoza Province,Tupungato,Cabernet Sauvignon
72,Argentina,87,14,Mendoza Province,Mendoza,Malbec
73,Argentina,87,19,Mendoza Province,Mendoza,Cabernet Sauvignon
74,Argentina,91,30,Mendoza Province,Mendoza,Malbec
75,Argentina,89,20,Mendoza Province,Mendoza,Cabernet Sauvignon
76,Argentina,89,15,Mendoza Province,Mendoza,Malbec
77,Argentina,87,23,Other,Cafayate,Cabernet Sauvignon
78,Argentina,86,12,Other,Salta,Torrontas
79,Argentina,91,45,Mendoza Province,Uco Valley,Malbec
80,Argentina,85,15,Mendoza Province,Mendoza,Syrah
81,Argentina,85,14,Mendoza Province,Mendoza,Pinot Grigio
82,Argentina,85,22,Mendoza Province,Mendoza,Malbec
83,Argentina,85,13,Other,Patagonia,Cabernet Sauvignon
84,Argentina,86,11,Mendoza Province,Uco Valley,Cabernet Sauvignon
85,Argentina,91,30,Mendoza Province,Mendoza,Malbec
86,Argentina,85,13,Other,Patagonia,Cabernet Sauvignon
87,Argentina,85,15,Mendoza Province,Mendoza,Red Blend
88,Argentina,86,13,Other,Patagonia,Malbec
89,Argentina,88,13,Mendoza Province,LujaÁn de Cuyo,Cabernet Sauvignon
90,Argentina,88,21,Mendoza Province,Mendoza,Cabernet Sauvignon
91,Argentina,88,15,Mendoza Province,Valle de Uco,Malbec
92,Argentina,88,25,Other,Cafayate,Torrontas
93,Argentina,85,22,Mendoza Province,Mendoza,Pinot Noir
94,Argentina,84,14,Mendoza Province,Maipa¼,Cabernet Sauvignon
95,Argentina,84,13,Mendoza Province,Mendoza,Malbec
96,Argentina,86,13,Other,Patagonia,Malbec
97,Argentina,86,10,Mendoza Province,Mendoza,Cabernet Sauvignon
98,Argentina,86,16,Other,Salta,Torrontas
99,Argentina,90,30,Mendoza Province,Uco Valley,Cabernet Sauvignon
100,Argentina,88,25,Other,Cafayate,Torrontas
101,Argentina,88,50,Mendoza Province,Valle de Uco,Malbec
102,Argentina,84,13,Mendoza Province,Mendoza,Malbec
103,Argentina,84,13,Mendoza Province,Mendoza,Malbec
104,Argentina,84,12,Mendoza Province,Tupungato,Sauvignon Blanc
105,Australia,90,20,South Australia,Adelaide Hills,Pinot Noir
106,Australia,88,42,Victoria,Yarra Valley,Pinot Noir
107,Australia,90,65,South Australia,McLaren Vale,Syrah
108,Australia,90,65,Tasmania,Tasmania,Pinot Noir
109,Australia,88,25,South Australia,Eden Valley,Chardonnay
110,Australia,90,25,South Australia,Barossa Valley,Syrah
111,Australia,90,33,Victoria,Nagambie Lakes,Marsanne
112,Australia,98,125,South Australia,Barossa Valley,Syrah
113,Australia,90,17,South Australia,Adelaide Hills,Pinot Noir
114,Australia,90,25,South Australia,McLaren Vale,Rosa
115,Australia,89,34,Victoria,Nagambie Lakes,Marsanne
116,Australia,87,42,Victoria,Yarra Valley,Pinot Noir
117,Australia,89,34,Victoria,Nagambie Lakes,Marsanne
118,Australia,89,20,South Australia,Adelaide Hills,Pinot Noir
119,Australia,89,20,Victoria,Victoria,Pinot Noir
120,Australia,95,500,South Australia,South Australia,Cabernet Sauvignon
121,Australia,95,200,South Australia,Eden Valley,Syrah
122,Australia,95,95,South Australia,Langhorne Creek,Red Blend
123,Australia,95,185,South Australia,Barossa Valley,Grenache
124,Australia,89,35,Victoria,Victoria,Riesling
125,Australia,89,16,South Australia,Barossa Valley,Syrah
126,Australia,94,90,South Australia,Barossa Valley,Grenache
127,Australia,89,13,Australia Other,Australia,Sparkling Blend
128,Australia,94,65,South Australia,Barossa,Red Blend
129,Australia,94,50,South Australia,Barossa,Syrah
130,Australia,93,120,South Australia,Barossa,Syrah
131,Australia,93,120,South Australia,Barossa,Syrah
132,Australia,93,54,South Australia,Barossa,Grenache
133,Australia,93,100,South Australia,Wrattonbully,Cabernet Sauvignon
134,Australia,93,185,South Australia,McLaren Vale,Syrah
135,Austria,93,21,Thermenregion,,St. Laurent
136,Austria,93,19,Burgenland,,Blauburgunder
137,Austria,93,25,Carnuntum,,Blaufraunkisch
138,Austria,93,,Burgenland,,Pinot Noir
139,Austria,93,,Burgenland,,Blaufraunkisch
140,Austria,93,27,Niederasterreich,,Pinot Noir
141,Austria,93,,Niederasterreich,,Graaner Veltliner
142,Austria,93,19,Thermenregion,,Pinot Noir
143,Austria,92,17,Wagram,,Graaner Veltliner
144,Austria,92,18,Kamptal,,Graaner Veltliner
145,Austria,92,17,Wagram,,Graaner Veltliner
146,Austria,92,18,Kamptal,,Graaner Veltliner
147,Austria,92,22,Niederasterreich,,Graaner Veltliner
148,Austria,92,15,Wagram,,Graaner Veltliner
149,Austria,92,15,Niederasterreich,Niederasterreich,Red Blend
150,Austria,92,25,Carnuntum,,Zweigelt
151,Austria,92,,Burgenland,,Graaner Veltliner
152,Austria,92,24,Eisenberg,,Blaufraunkisch
153,Austria,92,17,Kamptal,,Riesling
154,Austria,92,14,Carnuntum,,Pinot Noir
155,Austria,92,22,Burgenland,,Blaufraunkisch
156,Austria,92,20,Burgenland,,St. Laurent
157,Austria,92,20,Wachau,,Riesling
158,Austria,92,28,Burgenland,Burgenland,Red Blend
159,Austria,92,20,Wagram,,Graaner Veltliner
160,Austria,92,25,Kremstal,,Graaner Veltliner
161,Austria,92,43,Kamptal,,Graaner Veltliner
162,Austria,92,15,Burgenland,,Blaufraunkisch
163,Austria,92,18,Vienna,,Graaner Veltliner
164,Austria,91,22,Niederasterreich,,Gelber Muskateller
165,Austria,91,15,Kremstal,,Graaner Veltliner
166,Austria,91,18,Burgenland,,Blaufraunkisch
167,Austria,91,13,Burgenland,,Graaner Veltliner
168,Austria,91,17,Niederasterreich,,Gelber Muskateller
169,Austria,91,17,Burgenland,,Blaufraunkisch
170,Austria,91,21,Thermenregion,,Pinot Noir
171,Austria,91,20,Niederasterreich,,Graaner Veltliner
172,Austria,91,20,Weinviertel,,Graaner Veltliner
173,Austria,91,28,Burgenland,,St. Laurent
174,Austria,91,20,Kremstal,,Graaner Veltliner
175,Austria,91,,Wiener Gemischter Satz,,White Blend
176,Austria,91,18,Wiener Gemischter Satz,,White Blend
177,Austria,91,20,Weinviertel,,Graaner Veltliner
178,Austria,91,21,Burgenland,,Zweigelt
179,Austria,91,16,Carnuntum,,Zweigelt
180,Austria,91,24,Niederasterreich,,Gelber Muskateller
181,Austria,91,20,Weinviertel,,Graaner Veltliner
182,Austria,91,21,Burgenland,,Zweigelt
183,Austria,91,16,Carnuntum,,Zweigelt
184,Austria,91,24,Niederasterreich,,Gelber Muskateller
185,Austria,91,,Burgenland,,Zweigelt
186,Austria,91,23,Kremstal,,Graaner Veltliner
187,Austria,91,23,Kremstal,,Riesling
188,Austria,91,14,Niederasterreich,,St. Laurent
189,Austria,91,23,Niederasterreich,,Graaner Veltliner
190,Austria,91,16,Burgenland,,Blaufraunkisch
191,Austria,91,25,Wachau,,Graaner Veltliner
192,Austria,91,,Kamptal,,Graaner Veltliner
193,Austria,91,19,Burgenland,,Blaufraunkisch
194,Austria,91,32,Carnuntum,,Zweigelt
195,Austria,91,15,Burgenland,,Graaner Veltliner
196,Austria,91,,Kamptal,,Graaner Veltliner
197,Austria,91,17,Carnuntum,Carnuntum,Red Blend
198,Austria,91,17,Carnuntum,Carnuntum,Red Blend
199,Austria,90,14,Carnuntum,,Zweigelt
200,Austria,90,43,Kamptal,,Riesling
201,Austria,90,15,Kamptal,,Graaner Veltliner
202,Austria,90,15,Burgenland,,Chardonnay
203,Austria,90,18,Weinland aÐsterreich,,Rosa
204,Canada,90,70,British Columbia,Okanagan Valley,Bordeaux-style Red Blend
205,Canada,92,17,Ontario,Beamsville Bench,Riesling
206,Canada,90,24,British Columbia,Okanagan Valley,Riesling
207,Canada,90,19,British Columbia,Okanagan Valley,Pinot Gris
208,Canada,90,38,British Columbia,Okanagan Valley,Syrah
209,Canada,91,30,Ontario,Niagara Peninsula,Riesling
210,Canada,89,32,British Columbia,Okanagan Valley,Merlot
211,Canada,89,40,British Columbia,Okanagan Valley,Pinot Noir
212,Canada,89,18,British Columbia,Okanagan Valley,Chardonnay
213,Canada,89,40,British Columbia,Okanagan Valley,Pinot Noir
214,Canada,89,40,British Columbia,Okanagan Valley,Pinot Noir
215,Canada,90,15,Ontario,Niagara Peninsula,Riesling
216,Canada,88,24,British Columbia,Okanagan Valley,Chardonnay
217,Canada,90,30,British Columbia,Okanagan Valley,Chardonnay
218,Canada,88,18,British Columbia,Okanagan Valley,Rosa
219,Chile,89,19,Colchagua Valley,Colchagua Valley,Red Blend
220,Chile,92,30,Colchagua Valley,,Bordeaux-style Red Blend
221,Chile,89,20,Maipo Valley,,Cabernet Sauvignon
222,Chile,89,20,Casablanca Valley,,Pinot Noir
223,Chile,89,20,Cachapoal Valley,,Syrah
224,Chile,89,25,Colchagua Valley,,Cabernet Sauvignon
225,Chile,89,17,Leyda Valley,,Sauvignon Blanc
226,Chile,90,24,Peumo,Peumo,Red Blend
227,Chile,92,30,Colchagua Valley,,Bordeaux-style Red Blend
228,Chile,92,100,Colchagua Valley,Colchagua Valley,Red Blend
229,Chile,89,17,Leyda Valley,,Sauvignon Blanc
230,Chile,89,22,Leyda Valley,,Sauvignon Blanc
231,Chile,89,20,Colchagua Valley,,Cabernet Sauvignon
232,Chile,91,100,Colchagua Valley,Colchagua Valley,Red Blend
233,Chile,91,30,Colchagua Valley,Colchagua Valley,Red Blend
234,Chile,91,100,Aconcagua Valley,,Petit Verdot
235,Chile,90,27,Cachapoal Valley,,Syrah
236,Chile,92,85,Colchagua Valley,,Carmenare
237,Chile,88,13,Casablanca Valley,,Sauvignon Blanc
238,Chile,91,23,Marchigue,,Syrah
239,Chile,91,20,Aconcagua Valley,,Syrah
240,Chile,91,22,Rapel Valley,Rapel Valley,Red Blend
241,Chile,88,20,Casablanca Valley,,Pinot Noir
242,Chile,88,12,Maipo Valley,,Merlot
243,Chile,88,20,Casablanca Valley,,Pinot Noir
244,Chile,88,35,Cachapoal Valley,,Cabernet Franc
245,Chile,90,15,Colchagua Valley,,Carmenare
246,Chile,90,22,Aconcagua Costa,,Sauvignon Blanc
247,Chile,91,85,Maipo Valley,Maipo Valley,Red Blend
248,Chile,90,60,Elqui Valley,,Syrah
249,Chile,90,25,Colchagua Valley,,Syrah
250,Chile,90,25,Maipo Valley,,Cabernet Franc
251,Chile,88,28,San Antonio,,Syrah
252,Chile,88,15,San Antonio,,Sauvignon Blanc
253,Chile,91,71,Maule Valley,Maule Valley,Red Blend
254,Chile,91,45,Cachapoal Valley,Cachapoal Valley,Red Blend
255,Chile,91,19,Colchagua Valley,Colchagua Valley,Red Blend
256,Chile,91,75,Maipo Valley,Maipo Valley,Red Blend
257,Chile,91,30,Colchagua Valley,Colchagua Valley,Red Blend
258,Chile,90,30,Maipo Valley,,Cabernet Sauvignon
259,Chile,88,15,Elqui Valley,,Sauvignon Blanc
260,Chile,88,18,San Antonio,,Sauvignon Blanc
261,Chile,88,20,Colchagua Valley,,Syrah
262,Chile,88,20,Maule Valley,,Carmenare
263,Chile,91,40,Maipo Valley,Maipo Valley,Red Blend
264,Chile,89,17,Colchagua Valley,,Sauvignon Blanc
265,Chile,89,20,Aconcagua Valley,,Cabernet Sauvignon
266,Chile,88,20,Colchagua Valley,,Cabernet Sauvignon
267,Chile,89,24,Casablanca Valley,,Chardonnay
268,Chile,89,20,Ba?o Ba?o Valley,,Riesling
269,Chile,90,49,Cachapoal Valley,Cachapoal Valley,Red Blend
270,Chile,89,25,Cachapoal Valley,Cachapoal Valley,Red Blend
271,Chile,89,235,Aconcagua Valley,,Carmenare
272,Chile,89,95,Aconcagua Costa,,Chardonnay
273,Chile,87,14,Marchigue,,Syrah
274,Chile,87,20,Leyda Valley,,Sauvignon Blanc
275,Chile,87,24,Leyda Valley,,Pinot Noir
276,Chile,89,28,Maipo Valley,Maipo Valley,Red Blend
277,Chile,89,22,Leyda Valley,,Sauvignon Blanc
278,Chile,89,24,Colchagua Valley,,Sauvignon Blanc
279,Chile,89,22,Leyda Valley,,Riesling
280,Chile,89,17,Casablanca Valley,,Sauvignon Blanc
281,Chile,87,10,Maule Valley,,Sauvignon Blanc
282,Chile,87,25,Maipo Valley,,Cabernet Sauvignon
283,Chile,89,40,Maipo Valley,,Petit Verdot
284,Chile,90,25,Leyda Valley,,Pinot Noir
285,Chile,90,50,Maipo Valley,Maipo Valley,Red Blend
286,Chile,87,25,Maipo Valley,,Cabernet Sauvignon
287,Chile,87,15,Casablanca Valley,,Pinot Noir
288,Chile,87,12,Maule Valley,,Carmenare
289,Chile,87,19,Cachapoal Valley,,Carmenare
290,Chile,89,20,Aconcagua Costa,,Chardonnay
291,Chile,90,30,Colchagua Valley,,Carmenare
292,Chile,87,12,Elqui Valley,,Sauvignon Blanc
293,Chile,88,50,Elqui Valley,,Syrah
294,Chile,90,30,Colchagua Valley,Colchagua Valley,Red Blend
295,Chile,90,24,Peumo,Peumo,Red Blend
296,Chile,87,20,Maule Valley,,Cabernet Sauvignon
297,Chile,87,13,Colchagua Valley,,Carmenare
298,Chile,87,12,Maule Valley,,Pinot Noir
301,France,88,,Loire Valley,Cramant de Loire,Chenin Blanc
302,France,88,23,Loire Valley,Sancerre,Sauvignon Blanc
303,France,92,92,Burgundy,Beaune,Pinot Noir
304,France,92,94,Burgundy,Chassagne-Montrachet,Chardonnay
305,France,92,,Southwest France,Cahors,Malbec
306,France,92,30,Bordeaux,Graves,Bordeaux-style Red Blend
307,France,91,60,Burgundy,Santenay,Chardonnay
308,France,91,16,Southwest France,Cates du Tarn,Bordeaux-style Red Blend
309,France,91,40,Burgundy,Pouilly-Fuissa,Chardonnay
310,France,91,100,Burgundy,Clos de Vougeot,Pinot Noir
311,France,91,,Southwest France,Jurana¤on Sec,Gros and Petit Manseng
312,France,94,35,Southwest France,Madiran,Tannat
313,France,94,44,Provence,Bandol,Provence red blend
314,France,94,20,Provence,Coteaux d'Aix-en-Provence,Rosa
315,France,94,44,Provence,Bandol,Provence red blend
316,France,94,100,Provence,Cates de Provence,Rosa
317,France,94,70,Southwest France,Cahors,Malbec
318,France,91,54,Champagne,Champagne,Chardonnay
319,France,90,33,Alsace,Alsace,Pinot Noir
320,France,90,70,Burgundy,Gevrey-Chambertin,Pinot Noir
321,France,90,27,Alsace,Alsace,Sylvaner
322,France,90,30,Alsace,Alsace,Alsace white blend
323,France,90,80,Burgundy,Pommard,Pinot Noir
324,France,90,,Loire Valley,Sancerre,Pinot Noir
325,France,90,27,Rhane Valley,Cates du Rhane Villages,Rhane-style Red Blend
326,France,90,20,Rhane Valley,Chateauneuf-du-Pape,Rhane-style Red Blend
327,France,87,,Bordeaux,Madoc,Bordeaux-style Red Blend
328,France,87,,Bordeaux,Graves,Bordeaux-style White Blend
329,France,86,10,Southwest France,Cates de Gascogne,White Blend
330,France,89,11,Rhane Valley,Cates du Rhane,Grenache
331,France,89,19,Southwest France,Gaillac,Red Blend
332,France,89,28,Southwest France,Gaillac,White Blend
333,France,89,,Southwest France,Fronton,Negrette
334,France,89,15,Rhane Valley,Cates du Rhane,Grenache
335,France,92,,Alsace,Alsace,Riesling
336,France,92,29,Alsace,Alsace,Riesling
337,France,92,63,Alsace,Alsace,Riesling
338,France,92,18,Bordeaux,Blaye Cates de Bordeaux,Bordeaux-style Red Blend
339,France,92,,Alsace,Alsace,Riesling
340,France,90,50,Burgundy,Beaune,Pinot Noir
341,France,90,45,Burgundy,Morey-Saint-Denis,Pinot Noir
342,France,90,59,Burgundy,Beaune,Chardonnay
343,France,90,24,Alsace,Alsace,Sylvaner
344,France,90,,Burgundy,Marsannay,Pinot Noir
345,France,90,20,Alsace,Alsace,White Blend
346,France,90,20,Alsace,Alsace,Pinot Blanc
347,France,94,25,Southwest France,Madiran,Red Blend
348,France,94,40,Southwest France,Madiran,Tannat
349,France,93,25,Southwest France,Cahors,Malbec-Merlot
350,France,93,36,Provence,Bandol,Provence red blend
351,France,91,,Burgundy,Corton,Pinot Noir
352,France,91,25,Bordeaux,Haut-Madoc,Bordeaux-style Red Blend
353,France,91,60,Burgundy,Cates de Nuits Villages,Chardonnay
354,France,90,13,Southwest France,Cates de Gascogne,Red Blend
355,France,90,45,Burgundy,Chablis,Chardonnay
356,France,88,27,Loire Valley,Sancerre,Sauvignon Blanc
357,France,88,35,Loire Valley,Sancerre,Sauvignon Blanc
358,France,88,26,Bordeaux,Cates de Bourg,Bordeaux-style Red Blend
359,France,88,25,Loire Valley,Pouilly-Fuma,Sauvignon Blanc
360,France,88,28,Loire Valley,Sancerre,Sauvignon Blanc
361,France,88,25,Bordeaux,Pessac-Laognan,Bordeaux-style White Blend
362,France,88,,Bordeaux,Pessac-Laognan,Bordeaux-style White Blend
363,France,88,,Bordeaux,Pessac-Laognan,Bordeaux-style White Blend
364,France,88,18,Bordeaux,Bordeaux Blanc,Bordeaux-style White Blend
365,France,88,,Bordeaux,Pessac-Laognan,Bordeaux-style White Blend
366,France,88,20,Loire Valley,Menetou-Salon,Pinot Noir
367,France,90,24,Rhane Valley,Tavel,Rosa
368,France,85,9,Southwest France,Bergerac Rosa,Rosa
369,France,85,18,Burgundy,Coteaux Bourguignons,Pinot Noir
370,France,85,12,Southwest France,Cates du Lot,Rosa
371,France,85,14,Southwest France,Cahors,Malbec
372,France,85,11,Rhane Valley,Cates du Rhane,Rhane-style Red Blend
373,France,89,,Southwest France,Cahors,Malbec
374,France,89,20,Southwest France,Cates du Lot,White Blend
375,France,87,,Bordeaux,Pessac-Laognan,Bordeaux-style Red Blend
376,France,87,,Bordeaux,Graves,Bordeaux-style White Blend
377,France,87,35,Bordeaux,Pessac-Laognan,Bordeaux-style Red Blend
378,France,87,,Bordeaux,Pessac-Laognan,Bordeaux-style Red Blend
379,France,87,30,Bordeaux,Bordeaux Suparieur,Bordeaux-style Red Blend
380,France,87,,Bordeaux,Madoc,Bordeaux-style Red Blend
381,France,87,10,Bordeaux,Bordeaux,Bordeaux-style Red Blend
382,France,90,59,Burgundy,Beaune,Chardonnay
383,France,90,24,Alsace,Alsace,Sylvaner
384,France,90,,Burgundy,Marsannay,Pinot Noir
385,France,90,20,Alsace,Alsace,White Blend
386,France,90,20,Alsace,Alsace,Pinot Blanc
387,France,90,45,Burgundy,Chassagne-Montrachet,Chardonnay
388,France,90,,Loire Valley,Sancerre,Sauvignon Blanc
389,France,90,80,Burgundy,Aloxe-Corton,Pinot Noir
390,France,90,19,Loire Valley,Pouilly-Fuma,Sauvignon Blanc
391,France,90,24,Rhane Valley,Tavel,Rosa
392,France,92,30,Alsace,Alsace,Riesling
393,France,92,24,Alsace,Alsace,Riesling
394,France,92,55,Alsace,Alsace,Gewaarztraminer
395,France,93,65,Southwest France,Madiran,Tannat
396,France,93,50,Provence,Cates de Provence Sainte-Victoire,Rosa
397,France,93,34,Provence,Cates de Provence,Rosa
398,France,93,50,Southwest France,Cahors,Malbec
399,France,93,30,Provence,Cates de Provence La Londe,Rosa
400,France,93,40,Provence,Cates de Provence,Rosa
401,France,93,25,Southwest France,Cates de Gascogne,Tannat
402,France,89,20,Southwest France,Cates du Lot,White Blend
403,France,85,15,Southwest France,Cates de Gascogne,Sauvignon Blanc
404,France,85,9,Southwest France,Cates de Gascogne,White Blend
405,France,85,16,Rhane Valley,Cates du Rhane,Rhane-style White Blend
406,France,85,16,Southwest France,Cates du Tarn,Rosa
407,France,85,12,Southwest France,Cates de Bergerac,Bordeaux-style White Blend
408,France,85,15,Southwest France,Cates de Gascogne,Chardonnay
409,France,85,12,Burgundy,Coteaux Bourguignons,White Blend
410,France,91,24,Beaujolais,Morgon,Gamay
411,France,91,,Bordeaux,Saint-Emilion,Bordeaux-style Red Blend
412,France,91,,Beaujolais,Morgon,Gamay
413,France,88,15,Bordeaux,Cates de Bourg,Bordeaux-style Red Blend
414,France,88,37,Loire Valley,Sancerre,Sauvignon Blanc
415,France,88,,Loire Valley,Sancerre,Sauvignon Blanc
416,France,87,20,Bordeaux,Madoc,Bordeaux-style Red Blend
417,France,87,,Bordeaux,Madoc,Bordeaux-style Red Blend
418,France,87,35,Bordeaux,Moulis-en-Madoc,Bordeaux-style Red Blend
419,France,87,,Bordeaux,Pessac-Laognan,Bordeaux-style Red Blend
420,France,87,20,Bordeaux,Bordeaux Suparieur,Bordeaux-style Red Blend
421,France,87,27,Bordeaux,Listrac-Madoc,Bordeaux-style Red Blend
422,France,90,,Burgundy,Marsannay,Chardonnay
423,France,90,56,Burgundy,Mercurey,Pinot Noir
424,France,90,,Burgundy,Marsannay,Pinot Noir
425,France,90,35,Alsace,Alsace,Pinot Noir
426,France,90,70,Burgundy,Beaune,Pinot Noir
427,France,90,15,Alsace,Alsace,Pinot Blanc
428,France,90,21,Alsace,Alsace,Pinot Blanc
429,France,90,35,Loire Valley,Sancerre,Pinot Noir
430,France,90,43,Burgundy,Saint-Aubin,Chardonnay
431,France,93,40,Southwest France,Cahors,Malbec
432,France,93,20,Southwest France,Madiran,Tannat
433,France,93,52,Provence,Bandol,Rosa
434,France,90,141,Burgundy,Puligny-Montrachet,Chardonnay
435,France,90,74,Burgundy,Meursault,Chardonnay
436,France,90,65,Champagne,Champagne,Champagne Blend
437,France,92,34,Alsace,Alsace,Riesling
438,France,92,25,Alsace,Alsace,Riesling
439,France,92,30,Alsace,Alsace,Riesling
440,France,92,47,Alsace,Alsace,Riesling
441,France,92,49,Alsace,Alsace,Riesling
442,France,92,26,Alsace,Alsace,Riesling
443,France,92,65,Bordeaux,Lalande de Pomerol,Bordeaux-style Red Blend
444,France,92,40,Bordeaux,Margaux,Bordeaux-style Red Blend
445,France,85,63,Rhane Valley,Chateauneuf-du-Pape,Rhane-style White Blend
446,France,85,,Burgundy,Macon-Villages,Chardonnay
447,France,85,9,Southwest France,,Malbec-Merlot
448,France,85,12,Southwest France,Cahors,Malbec
449,France,85,13,Rhane Valley,Collines Rhadaniennes,Marsanne
450,France,85,17,Southwest France,Cahors,Malbec
451,France,85,9,Southwest France,,White Blend
452,France,87,35,Bordeaux,Moulis-en-Madoc,Bordeaux-style Red Blend
453,France,87,,Bordeaux,Pessac-Laognan,Bordeaux-style Red Blend
454,France,87,20,Bordeaux,Bordeaux Suparieur,Bordeaux-style Red Blend
455,France,87,30,Bordeaux,Haut-Madoc,Bordeaux-style Red Blend
456,France,87,,Bordeaux,Bordeaux,Bordeaux-style Red Blend
457,France,87,40,Bordeaux,Saint-Estaphe,Bordeaux-style Red Blend
458,France,87,13,Bordeaux,Cates de Bourg,Bordeaux-style Red Blend
459,France,87,19,Bordeaux,Madoc,Bordeaux-style Red Blend
460,France,87,25,Bordeaux,Listrac-Madoc,Bordeaux-style Red Blend
461,France,89,22,Southwest France,Cates du Marmandais,Red Blend
462,France,89,26,Southwest France,Cahors,Malbec
463,France,89,13,Southwest France,Fronton,Red Blend
464,France,88,,Southwest France,Jurana¤on,Gros and Petit Manseng
465,France,88,18,Southwest France,Cahors,Malbec
466,France,91,,Southwest France,Madiran,Tannat
467,France,91,78,Burgundy,Chassagne-Montrachet,Chardonnay
468,France,91,65,Burgundy,Gevrey-Chambertin,Pinot Noir
469,France,91,,Bordeaux,Saint-Emilion,Bordeaux-style Red Blend
